skaterFullName,playerId,season,y_test,y_pred
Parker Wotherspoon,8478450,20242025,13.0,25.944998
Jesper Boqvist,8480003,20242025,5.0,25.92247
Jakob Pelletier,8481592,20242025,0.0,25.844406
Nick DeSimone,8480084,20242025,5.0,25.66807
Brayden Pachal,8481167,20242025,6.0,25.618906
Erik Haula,8475287,20242025,13.0,25.605827
Luke Kunin,8479316,20242025,1.0,25.600279
Philip Tomasino,8481577,20242025,1.0,25.07932
Oskar Sundqvist,8476897,20242025,8.0,25.053976
Nick Leddy,8475181,20242025,4.0,24.973396
Brendan Gallagher,8475848,20242025,7.0,24.711622
Conor Geekie,8483447,20242025,1.0,24.570929
Andrew Mangiapane,8478233,20242025,10.0,24.48672
Trent Frederic,8479365,20242025,2.0,24.302532
Vincent Hinostroza,8476994,20242025,7.0,24.282299
Jake Bean,8479402,20242025,5.0,24.27417
Ethan Del Mastro,8482807,20242025,0.0,24.227703
Mark Jankowski,8476873,20242025,2.0,24.070654
Jonatan Berggren,8481013,20242025,8.0,23.90857
Michael Eyssimont,8479591,20242025,13.0,23.858614
Kailer Yamamoto,8479977,20242025,5.0,23.796047
Radek Faksa,8476889,20242025,8.0,23.740587
Jack Drury,8480835,20242025,10.0,23.560766
Nils Lundkvist,8480878,20242025,7.0,23.540415
Lawson Crouse,8478474,20242025,11.0,23.388548
Teddy Blueger,8476927,20242025,2.0,23.385693
Josh Mahura,8479372,20242025,5.0,23.370197
Casey Cizikas,8475231,20242025,4.0,23.311958
Tyler Kleven,8482095,20242025,2.0,23.250523
Garnet Hathaway,8477903,20242025,0.0,23.176107
Matt Savoie,8483512,20242025,7.0,23.102026
Jacob Bernard-Docker,8480879,20242025,2.0,23.034342
Jeff Petry,8473507,20242025,10.0,22.926727
Zach Bogosian,8474567,20242025,0.0,22.584326
Carson Soucy,8477369,20242025,7.0,22.512678
Dennis Cholowski,8479395,20242025,2.0,22.32674
Jeremy Lauzon,8478468,20242025,8.0,22.164917
Jordan Greenway,8478413,20242025,3.0,22.128777
Adam Wilsby,8482482,20242025,4.0,22.107716
Colton Dach,8482703,20242025,6.0,21.95205
Philippe Myers,8479026,20242025,0.0,21.870422
Zemgus Girgensons,8476878,20242025,9.0,21.731411
Colin Blackwell,8476278,20242025,5.0,21.590212
Yakov Trenin,8478508,20242025,3.0,21.30273
Michael Carcone,8479619,20242025,9.0,21.298302
Seamus Casey,8483429,20242025,0.0,21.27728
Joseph Veleno,8480813,20242025,0.0,21.092417
Calum Ritchie,8484221,20242025,0.0,21.002897
Ryan Johnson,8481564,20242025,0.0,20.937634
Arthur Kaliyev,8481560,20242025,1.0,20.843702
Alexandre Texier,8480074,20242025,1.0,20.687654
Matthew Wood,8484241,20242025,19.0,20.003675
Jimmy Snuggerud,8483516,20242025,16.0,20.000387
Carl Grundstrom,8479336,20242025,0.0,19.95461
Joel Kiviranta,8481641,20242025,0.0,19.951155
Mattias Janmark,8477406,20242025,0.0,19.897028
Alexander Holtz,8482125,20242025,0.0,19.885574
Blake Lizotte,8481481,20242025,5.0,19.849209
Zach Aston-Reese,8479944,20242025,3.0,19.801056
Jake Christiansen,8481161,20242025,0.0,19.777475
Parker Kelly,8480448,20242025,13.0,19.777008
